#y z r Fr
-4.000000e-01 0.000000e+00 4.0000000000000002e-01 -1.3178570000000000e-03
-3.950000e-01 0.000000e+00 3.9500000000000002e-01 -1.1995931947955390e-03
-3.900000e-01 0.000000e+00 3.9000000000000001e-01 -1.0842859406027718e-03
-3.850000e-01 0.000000e+00 3.8500000000000001e-01 -9.7357584794028045e-04
-3.800000e-01 0.000000e+00 3.8000000000000000e-01 -8.6856310495332992e-04
-3.750000e-01 0.000000e+00 3.7500000000000000e-01 -7.6991895382708922e-04
-3.700000e-01 0.000000e+00 3.7000000000000005e-01 -6.7797961017023345e-04
-3.650000e-01 0.000000e+00 3.6499999999999999e-01 -5.9282482391164717e-04
-3.600000e-01 0.000000e+00 3.6000000000000004e-01 -5.1434306044098577e-04
-3.550000e-01 0.000000e+00 3.5499999999999998e-01 -4.4228507821442696e-04
-3.500000e-01 0.000000e+00 3.5000000000000003e-01 -3.7630749280086391e-04
-3.450000e-01 0.000000e+00 3.4500000000000003e-01 -3.1600774636671554e-04
-3.400000e-01 0.000000e+00 3.4000000000000002e-01 -2.6095174493899134e-04
-3.350000e-01 0.000000e+00 3.3500000000000002e-01 -2.1069528253814032e-04
-3.300000e-01 0.000000e+00 3.3000000000000002e-01 -1.6480024056774329e-04
-3.250000e-01 0.000000e+00 3.2500000000000001e-01 -1.2284643186054895e-04
-3.200000e-01 0.000000e+00 3.2000000000000006e-01 -8.4439850721753347e-05
-3.150000e-01 0.000000e+00 3.1500000000000000e-01 -4.9217992430696616e-05
-3.100000e-01 0.000000e+00 3.1000000000000005e-01 -1.6852817247585524e-05
-3.050000e-01 0.000000e+00 3.0499999999999999e-01 1.2948145655716372e-05
-3.000000e-01 0.000000e+00 3.0000000000000004e-01 4.0442130406264824e-05
-2.950000e-01 0.000000e+00 2.9500000000000004e-01 6.5852542799564335e-05
-2.900000e-01 0.000000e+00 2.8999999999999998e-01 8.9371141843971744e-05
-2.850000e-01 0.000000e+00 2.8499999999999998e-01 1.1116074208805882e-04
-2.800000e-01 0.000000e+00 2.7999999999999997e-01 1.3135822904246938e-04
-2.750000e-01 0.000000e+00 2.7500000000000002e-01 1.5007771931118641e-04
-2.700000e-01 0.000000e+00 2.7000000000000002e-01 1.6741373141101844e-04
-2.650000e-01 0.000000e+00 2.6500000000000001e-01 1.8344426311623120e-04
-2.600000e-01 0.000000e+00 2.5999999999999995e-01 1.9823369692526012e-04
-2.550000e-01 0.000000e+00 2.5500000000000000e-01 2.1183547729106706e-04
-2.500000e-01 0.000000e+00 2.5000000000000000e-01 2.2429452194456888e-04
-2.450000e-01 0.000000e+00 2.4500000000000002e-01 2.3564934530719039e-04
-2.400000e-01 0.000000e+00 2.3999999999999999e-01 2.4593388494726916e-04
-2.350000e-01 0.000000e+00 2.3499999999999999e-01 2.5517903257775838e-04
-2.300000e-01 0.000000e+00 2.2999999999999998e-01 2.6341387949096573e-04
-2.250000e-01 0.000000e+00 2.2500000000000001e-01 2.7066669283192933e-04
-2.200000e-01 0.000000e+00 2.2000000000000003e-01 2.7696564395868727e-04
-2.150000e-01 0.000000e+00 2.1500000000000000e-01 2.8233931354052584e-04
-2.100000e-01 0.000000e+00 2.0999999999999996e-01 2.8681700020253772e-04
-2.050000e-01 0.000000e+00 2.0499999999999999e-01 2.9042886061848188e-04
-2.000000e-01 0.000000e+00 2.0000000000000001e-01 2.9320590915046774e-04
-1.950000e-01 0.000000e+00 1.9499999999999998e-01 2.9517990458513300e-04
-1.900000e-01 0.000000e+00 1.9000000000000000e-01 2.9638315035943578e-04
