#y z r Fr
-4.0000000000000002e-01 -4.0000000000000002e-01 5.6568542494923812e-01 -8.5116889840887542e-04
-3.9500000000000002e-01 -3.9500000000000002e-01 5.5861435713737262e-01 -8.0108732879482505e-04
-3.9000000000000001e-01 -3.9000000000000001e-01 5.5154328932550711e-01 -7.5147876317713887e-04
-3.8500000000000001e-01 -3.8500000000000001e-01 5.4447222151364161e-01 -7.0242241454661597e-04
-3.8000000000000000e-01 -3.8000000000000000e-01 5.3740115370177610e-01 -6.5415535712124774e-04
-3.7500000000000000e-01 -3.7500000000000000e-01 5.3033008588991060e-01 -6.0684734620371716e-04
-3.7000000000000005e-01 -3.7000000000000005e-01 5.2325901807804531e-01 -5.6059124999088350e-04
-3.6499999999999999e-01 -3.6499999999999999e-01 5.1618795026617970e-01 -5.1544617549852839e-04
-3.6000000000000004e-01 -3.6000000000000004e-01 5.0911688245431430e-01 -4.7147229123696577e-04
-3.5499999999999998e-01 -3.5499999999999998e-01 5.0204581464244868e-01 -4.2874422083432354e-04
-3.5000000000000003e-01 -3.5000000000000003e-01 4.9497474683058335e-01 -3.8734833742904275e-04
-3.4500000000000003e-01 -3.4500000000000003e-01 4.8790367901871784e-01 -3.4737321656970878e-04
-3.4000000000000002e-01 -3.4000000000000002e-01 4.8083261120685239e-01 -3.0890042189952831e-04
-3.3500000000000002e-01 -3.3500000000000002e-01 4.7376154339498688e-01 -2.7199919254855879e-04
-3.3000000000000002e-01 -3.3000000000000002e-01 4.6669047558312138e-01 -2.3672553079474889e-04
-3.2500000000000001e-01 -3.2500000000000001e-01 4.5961940777125593e-01 -2.0312433170663395e-04
-3.2000000000000006e-01 -3.2000000000000006e-01 4.5254833995939053e-01 -1.7123252615566844e-04
-3.1500000000000000e-01 -3.1500000000000000e-01 4.4547727214752497e-01 -1.4108140162580904e-04
-3.1000000000000005e-01 -3.1000000000000005e-01 4.3840620433565952e-01 -1.1269693448475162e-04
-3.0499999999999999e-01 -3.0499999999999999e-01 4.3133513652379396e-01 -8.6097778757162122e-05
-3.0000000000000004e-01 -3.0000000000000004e-01 4.2426406871192857e-01 -6.1291274906683429e-05
-2.9500000000000004e-01 -2.9500000000000004e-01 4.1719300090006306e-01 -3.8268336465448961e-05
-2.8999999999999998e-01 -2.8999999999999998e-01 4.1012193308819755e-01 -1.6998298928445279e-05
-2.8499999999999998e-01 -2.8499999999999998e-01 4.0305086527633205e-01 2.5752063348031776e-06
-2.7999999999999997e-01 -2.7999999999999997e-01 3.9597979746446660e-01 2.0536502776610792e-05
-2.7500000000000002e-01 -2.7500000000000002e-01 3.8890872965260115e-01 3.6997722782993299e-05
-2.7000000000000002e-01 -2.7000000000000002e-01 3.8183766184073570e-01 5.2096116120577337e-05
-2.6500000000000001e-01 -2.6500000000000001e-01 3.7476659402887019e-01 6.5989015725936281e-05
-2.5999999999999995e-01 -2.5999999999999995e-01 3.6769552621700463e-01 7.8846949773647137e-05
-2.5500000000000000e-01 -2.5500000000000000e-01 3.6062445840513924e-01 9.0845581290630988e-05
-2.5000000000000000e-01 -2.5000000000000000e-01 3.5355339059327379e-01 1.0215724552011462e-04
-2.4500000000000002e-01 -2.4500000000000002e-01 3.4648232278140834e-01 1.1294284568702988e-04
-2.3999999999999999e-01 -2.3999999999999999e-01 3.3941125496954283e-01 1.2334477548610697e-04
-2.3499999999999999e-01 -2.3499999999999999e-01 3.3234018715767732e-01 1.3348138385637062e-04
-2.2999999999999998e-01 -2.2999999999999998e-01 3.2526911934581182e-01 1.4344330953405620e-04
-2.2500000000000001e-01 -2.2500000000000001e-01 3.1819805153394637e-01 1.5329181409279676e-04
-2.2000000000000003e-01 -2.2000000000000003e-01 3.1112698372208097e-01 1.6305905429826642e-04
-2.1500000000000000e-01 -2.1500000000000000e-01 3.0405591591021541e-01 1.7275007461259805e-04
-2.0999999999999996e-01 -2.0999999999999996e-01 2.9698484809834991e-01 1.8234618011218421e-04
-2.0499999999999999e-01 -2.0499999999999999e-01 2.8991378028648446e-01 1.9180927486667936e-04
-2.0000000000000001e-01 -2.0000000000000001e-01 2.8284271247461906e-01 2.0108672172500195e-04
-1.9499999999999998e-01 -1.9499999999999998e-01 2.7577164466275350e-01 2.1011629285883169e-04
-1.9000000000000000e-01 -1.9000000000000000e-01 2.6870057685088805e-01 2.1883082940736835e-04
-1.8500000000000003e-01 -1.8500000000000003e-01 2.6162950903902266e-01 2.2716230407426009e-04
-1.7999999999999999e-01 -1.7999999999999999e-01 2.5455844122715710e-01 2.3504507245389558e-04
-1.7500000000000002e-01 -1.7500000000000002e-01 2.4748737341529167e-01 2.4241819712243420e-04
-1.6999999999999998e-01 -1.6999999999999998e-01 2.4041630560342614e-01 2.4922682389322623e-04
-1.6500000000000001e-01 -1.6500000000000001e-01 2.3334523779156069e-01 2.5542267438552940e-04
-1.5999999999999998e-01 -1.5999999999999998e-01 2.2627416997969516e-01 2.6096378739176628e-04
-1.5500000000000000e-01 -1.5500000000000000e-01 2.1920310216782973e-01 2.6581368977661457e-04
-1.5000000000000002e-01 -1.5000000000000002e-01 2.1213203435596428e-01 2.6994020424991362e-04
-1.4499999999999999e-01 -1.4499999999999999e-01 2.0506096654409878e-01 2.7331410673349084e-04
-1.3999999999999999e-01 -1.3999999999999999e-01 1.9798989873223330e-01 2.7590783226671988e-04
-1.3499999999999998e-01 -1.3499999999999998e-01 1.9091883092036779e-01 2.7769439883415726e-04
-1.2999999999999998e-01 -1.2999999999999998e-01 1.8384776310850232e-01 2.7864667738486019e-04
-1.2500000000000000e-01 -1.2500000000000000e-01 1.7677669529663689e-01 2.7873708831488637e-04
-1.1999999999999998e-01 -1.1999999999999998e-01 1.6970562748477139e-01 2.7793775449536643e-04
-1.1499999999999999e-01 -1.1499999999999999e-01 1.6263455967290591e-01 2.7622109290770258e-04
-1.0999999999999997e-01 -1.0999999999999997e-01 1.5556349186104043e-01 2.7356078482829242e-04
-1.0499999999999998e-01 -1.0499999999999998e-01 1.4849242404917495e-01 2.6993303118322910e-04
-1.0000000000000001e-01 -1.0000000000000001e-01 1.4142135623730953e-01 2.6531797709786393e-04
-9.4999999999999973e-02 -9.4999999999999973e-02 1.3435028842544400e-01 2.5970117871465119e-04
-8.9999999999999997e-02 -8.9999999999999997e-02 1.2727922061357855e-01 2.5307498598199906e-04
-8.4999999999999964e-02 -8.4999999999999964e-02 1.2020815280171303e-01 2.4543972637918013e-04
-7.9999999999999988e-02 -7.9999999999999988e-02 1.1313708498984758e-01 2.3680459475388548e-04
-7.5000000000000011e-02 -7.5000000000000011e-02 1.0606601717798214e-01 2.2718818137553934e-04
-6.9999999999999979e-02 -6.9999999999999979e-02 9.8994949366116622e-02 2.1661860137096392e-04
-6.4999999999999988e-02 -6.4999999999999988e-02 9.1923881554251158e-02 2.0513322120024354e-04
-5.9999999999999970e-02 -5.9999999999999970e-02 8.4852813742385666e-02 1.9277800911323499e-04
-5.4999999999999986e-02 -5.4999999999999986e-02 7.7781745930520216e-02 1.7960656422094429e-04
-5.0000000000000003e-02 -5.0000000000000003e-02 7.0710678118654766e-02 1.6567890094938345e-04
-4.4999999999999978e-02 -4.4999999999999978e-02 6.3639610306789246e-02 1.5106008076832303e-04
-3.9999999999999994e-02 -3.9999999999999994e-02 5.6568542494923789e-02 1.3581879035075124e-04
-3.4999999999999969e-02 -3.4999999999999969e-02 4.9497474683058283e-02 1.2002596449145497e-04
-2.9999999999999985e-02 -2.9999999999999985e-02 4.2426406871192833e-02 1.0375354357420899e-04
-2.5000000000000001e-02 -2.5000000000000001e-02 3.5355339059327383e-02 8.7073440059866935e-05
-1.9999999999999976e-02 -1.9999999999999976e-02 2.8284271247461867e-02 7.0056767771245595e-05
-1.4999999999999993e-02 -1.4999999999999993e-02 2.1213203435596416e-02 5.2773363424443267e-05
-9.9999999999999655e-03 -9.9999999999999655e-03 1.4142135623730902e-02 3.5291603866058447e-05
-4.9999999999999828e-03 -4.9999999999999828e-03 7.0710678118654511e-03 1.7678496860586392e-05
0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
4.9999999999999828e-03 4.9999999999999828e-03 7.0710678118654511e-03 1.7678496860586395e-05
1.0000000000000054e-02 1.0000000000000054e-02 1.4142135623731027e-02 3.5291603866058806e-05
1.5000000000000036e-02 1.5000000000000036e-02 2.1213203435596475e-02 5.2773363424443491e-05
2.0000000000000018e-02 2.0000000000000018e-02 2.8284271247461926e-02 7.0056767771245866e-05
2.5000000000000001e-02 2.5000000000000001e-02 3.5355339059327383e-02 8.7073440059867193e-05
2.9999999999999985e-02 2.9999999999999985e-02 4.2426406871192833e-02 1.0375354357420899e-04
3.5000000000000052e-02 3.5000000000000052e-02 4.9497474683058401e-02 1.2002596449145524e-04
4.0000000000000036e-02 4.0000000000000036e-02 5.6568542494923851e-02 1.3581879035075143e-04
4.5000000000000019e-02 4.5000000000000019e-02 6.3639610306789302e-02 1.5106008076832330e-04
5.0000000000000003e-02 5.0000000000000003e-02 7.0710678118654766e-02 1.6567890094938356e-04
5.4999999999999986e-02 5.4999999999999986e-02 7.7781745930520216e-02 1.7960656422094464e-04
6.0000000000000053e-02 6.0000000000000053e-02 8.4852813742385777e-02 1.9277800911323523e-04
6.5000000000000044e-02 6.5000000000000044e-02 9.1923881554251241e-02 2.0513322120024386e-04
7.0000000000000021e-02 7.0000000000000021e-02 9.8994949366116677e-02 2.1661860137096414e-04
7.5000000000000011e-02 7.5000000000000011e-02 1.0606601717798214e-01 2.2718818137553985e-04
8.0000000000000071e-02 8.0000000000000071e-02 1.1313708498984770e-01 2.3680459475388621e-04
8.5000000000000062e-02 8.5000000000000062e-02 1.2020815280171317e-01 2.4543972637918029e-04
9.0000000000000038e-02 9.0000000000000038e-02 1.2727922061357860e-01 2.5307498598199944e-04
9.5000000000000029e-02 9.5000000000000029e-02 1.3435028842544408e-01 2.5970117871465108e-04
1.0000000000000001e-01 1.0000000000000001e-01 1.4142135623730953e-01 2.6531797709786420e-04
1.0500000000000008e-01 1.0500000000000008e-01 1.4849242404917509e-01 2.6993303118322915e-04
1.1000000000000006e-01 1.1000000000000006e-01 1.5556349186104054e-01 2.7356078482829247e-04
1.1500000000000005e-01 1.1500000000000005e-01 1.6263455967290599e-01 2.7622109290770269e-04
1.2000000000000002e-01 1.2000000000000002e-01 1.6970562748477144e-01 2.7793775449536692e-04
1.2500000000000000e-01 1.2500000000000000e-01 1.7677669529663689e-01 2.7873708831488669e-04
1.3000000000000009e-01 1.3000000000000009e-01 1.8384776310850248e-01 2.7864667738486030e-04
1.3500000000000006e-01 1.3500000000000006e-01 1.9091883092036793e-01 2.7769439883415720e-04
1.4000000000000004e-01 1.4000000000000004e-01 1.9798989873223335e-01 2.7590783226671994e-04
1.4500000000000002e-01 1.4500000000000002e-01 2.0506096654409880e-01 2.7331410673349068e-04
1.5000000000000002e-01 1.5000000000000002e-01 2.1213203435596428e-01 2.6994020424991346e-04
1.5500000000000008e-01 1.5500000000000008e-01 2.1920310216782984e-01 2.6581368977661468e-04
1.6000000000000006e-01 1.6000000000000006e-01 2.2627416997969529e-01 2.6096378739176574e-04
1.6500000000000004e-01 1.6500000000000004e-01 2.3334523779156074e-01 2.5542267438552913e-04
